label,seed,utility,variables_assigned,total_variables,complete,run_cost_usd,run_secs,exposures_total_keys,exposures_total_weighted,reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,leak_opportunities_only_new,relay_reachable_fact_recipient_pairs,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,relay_leak_opportunities_only_new,leaked_permissive_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_keys,leaked_strict_participation,leaked_strict_interval,leaked_strict_second_order_excl,leaked_strict_second_order_any,leaked_only_new_keys,leaked_only_new_participation,leaked_only_new_interval,leaked_only_new_second_order_excl,leaked_only_new_second_order_any,redundant_participation_broadcasts,leaked_only_new_weighted,leak_rate_permissive,leak_rate_strict,leak_rate_only_new,fraction_broadcasts_informative,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leak_realization_only_new
er025,169542,0.782608695652174,17,17,True,0.0095,56.2,53,52.0,48,40,44,36,136,108,122,96,43,23,20,3,7,48,28,20,4,8,38,18,20,2,5,10,37.5,0.811,0.906,0.717,0.792,1.075,1.091,0.398,0.393,1.056
er025,182813,0.6071428571428571,16,16,True,0.0082,54.7,58,58.0,52,32,42,32,128,76,102,74,33,17,16,1,3,48,32,16,6,10,33,17,16,1,3,15,33.0,0.569,0.828,0.569,0.688,1.031,1.143,0.434,0.471,1.031
er025,195884,0.7727272727272727,16,16,True,0.0104,62.1,62,60.5,54,46,50,40,128,96,112,84,52,26,26,6,7,57,31,26,7,8,45,19,26,5,6,12,44.0,0.839,0.919,0.726,0.789,1.13,1.14,0.542,0.509,1.125
er025,203069,0.7058823529411765,14,14,True,0.008,49.6,54,53.5,50,42,46,34,112,92,102,82,44,23,21,2,7,49,28,21,3,9,36,15,21,2,7,13,36.0,0.815,0.907,0.667,0.735,1.048,1.065,0.478,0.48,1.059
er025,273773,0.30434782608695654,17,17,True,0.0085,53.2,63,63.0,56,44,50,36,136,108,122,90,48,27,21,5,5,57,36,21,8,8,38,17,21,3,3,19,38.0,0.762,0.905,0.603,0.667,1.091,1.14,0.444,0.467,1.056
er025,283373,0.8235294117647058,14,14,True,0.0077,47.8,48,48.0,46,38,42,34,112,92,102,82,40,23,17,4,4,44,27,17,4,6,36,19,17,4,4,8,36.0,0.833,0.917,0.75,0.818,1.053,1.048,0.435,0.431,1.059
er025,313147,0.6923076923076923,17,17,True,0.0082,54.5,76,74.5,70,50,60,42,136,96,116,84,54,29,25,4,11,66,41,25,6,15,46,21,25,4,10,20,44.5,0.711,0.868,0.605,0.697,1.08,1.1,0.562,0.569,1.095
er025,372142,0.9411764705882353,14,14,True,0.0082,74.2,50,49.5,42,34,38,30,112,96,104,84,40,23,17,6,6,46,29,17,8,10,35,18,17,5,5,11,35.0,0.8,0.92,0.7,0.761,1.176,1.211,0.417,0.442,1.167
er025,386308,0.75,15,15,True,0.0079,52.9,52,52.0,50,30,40,28,120,80,100,76,30,15,15,0,0,42,27,15,2,4,28,13,15,0,0,14,28.0,0.577,0.808,0.538,0.667,1.0,1.05,0.375,0.42,1.0
er025,391186,0.5862068965517241,17,17,True,0.0098,58.0,68,66.5,56,40,48,38,136,84,110,78,50,28,22,10,14,59,37,22,11,16,48,26,22,10,14,11,47.0,0.735,0.868,0.706,0.814,1.25,1.229,0.595,0.536,1.263
er025,436858,0.72,16,16,True,0.0106,5769.3,57,57.0,52,40,46,34,128,88,108,80,43,22,21,3,8,51,30,21,5,12,36,15,21,2,6,15,36.0,0.754,0.895,0.632,0.706,1.075,1.109,0.489,0.472,1.059
er025,453967,0.55,14,14,True,0.0093,56.9,48,47.5,44,32,38,32,112,76,94,74,37,21,16,6,9,44,28,16,7,10,37,21,16,6,9,7,36.5,0.771,0.917,0.771,0.841,1.156,1.158,0.487,0.468,1.156
er025,457419,0.8846153846153846,17,17,True,0.0097,54.0,60,60.0,52,40,46,34,136,96,116,84,45,25,20,5,11,54,34,20,8,14,39,19,20,5,11,15,39.0,0.75,0.9,0.65,0.722,1.125,1.174,0.469,0.466,1.147
er025,580095,0.8636363636363636,16,16,True,0.0086,52.2,64,64.0,56,48,52,40,128,104,116,88,55,31,24,7,11,60,36,24,8,13,46,22,24,6,9,14,46.0,0.859,0.938,0.719,0.767,1.146,1.154,0.529,0.517,1.15
er025,589383,0.6818181818181818,16,16,True,0.0101,2900.0,55,54.0,50,42,46,38,128,104,116,88,45,25,20,5,15,50,30,20,6,18,41,21,20,5,13,9,40.0,0.818,0.909,0.745,0.82,1.071,1.087,0.433,0.431,1.079
er025,593503,0.52,15,16,False,0.0084,107.7,59,59.0,58,42,50,38,128,88,108,80,43,24,19,5,6,53,34,19,8,9,38,19,19,4,5,15,38.0,0.729,0.898,0.644,0.717,1.024,1.06,0.489,0.491,1.0
er025,641487,0.8636363636363636,16,16,True,0.0081,50.2,54,54.0,52,36,44,30,128,100,114,86,35,19,16,1,1,46,30,16,4,8,29,13,16,1,1,17,29.0,0.648,0.852,0.537,0.63,0.972,1.045,0.35,0.404,0.967
er025,657683,0.8461538461538461,13,13,True,0.0084,50.7,46,46.0,42,34,38,28,104,88,96,80,38,21,17,4,5,42,25,17,4,5,30,13,17,2,3,12,30.0,0.826,0.913,0.652,0.714,1.118,1.105,0.432,0.438,1.071
er025,768277,0.9166666666666666,15,15,True,0.0083,56.6,57,57.0,50,30,40,30,120,84,102,78,33,18,15,3,5,47,32,15,7,11,33,18,15,3,5,14,33.0,0.579,0.825,0.579,0.702,1.1,1.175,0.393,0.461,1.1
er025,768470,0.8571428571428571,15,15,True,0.0105,72.6,58,57.0,54,42,48,38,120,96,108,84,42,23,19,2,7,51,32,19,5,12,37,18,19,1,5,14,37.0,0.724,0.879,0.638,0.725,1.0,1.062,0.438,0.472,0.974
er025,774005,0.3333333333333333,16,18,False,0.0104,79.8,54,54.0,58,34,46,32,144,84,114,78,27,14,13,1,2,42,29,13,4,5,25,12,13,1,2,17,25.0,0.5,0.778,0.463,0.595,0.794,0.913,0.321,0.368,0.781
er025,841848,0.7142857142857143,15,15,True,0.0081,5657.4,56,54.0,50,46,48,42,120,88,104,80,51,31,20,8,12,54,34,20,9,13,46,26,20,7,11,8,44.5,0.911,0.964,0.821,0.852,1.109,1.125,0.58,0.519,1.095
er025,860016,0.0,13,14,False,0.008,7294.8,42,41.5,40,28,34,26,112,80,96,76,28,14,14,0,4,36,22,14,2,7,26,12,14,0,4,10,26.0,0.667,0.857,0.619,0.722,1.0,1.059,0.35,0.375,1.0
er025,865292,0.75,19,19,True,0.009,13527.1,66,65.5,62,42,52,34,152,116,134,100,42,21,21,0,0,56,35,21,4,7,34,13,21,0,0,22,33.5,0.636,0.848,0.515,0.607,1.0,1.077,0.362,0.418,1.0
er025,896678,0.8947368421052632,16,16,True,0.0089,90.7,62,61.0,58,50,54,40,128,108,118,90,53,31,22,7,12,58,36,22,8,13,40,18,22,4,8,18,39.5,0.855,0.935,0.645,0.69,1.06,1.074,0.491,0.492,1.0
er025,916639,0.8333333333333334,15,15,True,0.0088,55.3,56,56.0,48,36,42,34,120,80,100,76,41,23,18,5,9,50,32,18,8,14,39,21,18,5,9,11,39.0,0.732,0.893,0.696,0.78,1.139,1.19,0.512,0.5,1.147
er025,95729,0.7058823529411765,14,14,True,0.0087,60.9,48,48.0,44,36,40,32,112,88,100,80,38,24,14,6,7,44,30,14,8,9,34,20,14,6,7,10,34.0,0.792,0.917,0.708,0.773,1.056,1.1,0.432,0.44,1.062
er025,977048,0.6875,13,13,True,0.0081,50.2,52,51.0,48,36,42,32,104,84,94,78,38,20,18,3,4,46,28,18,5,8,34,16,18,3,4,12,33.5,0.731,0.885,0.654,0.739,1.056,1.095,0.452,0.489,1.062
er050,10664,0.7,14,14,True,0.0083,50.5,64,63.5,58,30,44,30,112,76,94,74,34,19,15,4,8,50,35,15,6,18,34,19,15,4,8,16,33.5,0.531,0.781,0.531,0.68,1.133,1.136,0.447,0.532,1.133
er050,130304,0.7931034482758621,17,17,True,0.0084,51.1,79,78.5,74,42,58,38,136,84,110,78,43,24,19,3,12,63,44,19,7,25,39,20,19,3,11,24,39.0,0.544,0.797,0.494,0.619,1.024,1.086,0.512,0.573,1.026
er050,169542,0.9565217391304348,17,17,True,0.0088,51.7,62,62.0,58,42,50,36,136,108,122,96,44,23,21,2,5,54,33,21,4,8,37,16,21,1,3,17,37.0,0.71,0.871,0.597,0.685,1.048,1.08,0.407,0.443,1.028
er050,182813,0.5714285714285714,16,16,True,0.0083,49.0,77,73.5,68,36,52,36,128,76,102,74,40,23,17,6,13,60,43,17,10,25,40,23,17,6,13,20,38.5,0.519,0.779,0.519,0.667,1.111,1.154,0.526,0.588,1.111
er050,195884,0.5,16,16,True,0.0079,45.6,83,83.0,74,54,64,46,128,96,112,84,61,34,27,7,16,73,46,27,9,18,52,25,27,6,15,21,52.0,0.735,0.88,0.627,0.712,1.13,1.141,0.635,0.652,1.13
er050,203069,0.5882352941176471,14,14,True,0.0088,55.0,62,62.0,60,48,54,40,112,92,102,82,50,26,24,2,12,56,32,24,2,18,41,17,24,1,10,15,41.0,0.806,0.903,0.661,0.732,1.042,1.037,0.543,0.549,1.025
er050,273773,0.391304347826087,15,17,False,0.009,54.6,62,59.5,56,44,50,36,136,108,122,90,48,26,22,5,7,56,34,22,7,9,39,17,22,4,5,17,36.5,0.774,0.903,0.629,0.696,1.091,1.12,0.444,0.459,1.083
er050,283373,0.7647058823529411,14,14,True,0.0084,47.9,63,61.5,58,46,52,40,112,92,102,82,51,29,22,7,11,57,35,22,7,16,45,23,22,7,11,12,43.5,0.81,0.905,0.714,0.789,1.109,1.096,0.554,0.559,1.125
